FisheryFineID,RegTypeID,Finescale_name,finescale_description,FisheryCoarseID,Coarse_description,ERA_fishery_id,ERA_fishery_name,country,fishery_type
2113,,AK 113 GN,AK DISTRICT 113 GILLNET,59,Alaska Southeast Other Gillnet,17,ALASKA N,US,pre-terminal
2114,,AK 114 GN,AK DISTRICT 114 GILLNET,59,Alaska Southeast Other Gillnet,17,ALASKA N,US,pre-terminal
2115,,AK 115 GN,AK DISTRICT 115 GILLNET,59,Alaska Southeast Other Gillnet,17,ALASKA N,US,pre-terminal
2116,,TTAKU GN,TAKU RIVER TERMINAL GILLNET,60,Taku River Terminal Gillnet,33,TBR TERM N,US,terminal
2117,,TSTIKINE GN,STIKINE RIVER TERMINAL GILLNET,61,Stikine River Terminal Gillnet,33,TBR TERM N,US,terminal
2118,,AK CI TGN,CARROLL INLET TERMINAL GILLNET,62,SE Alaska Terminal Gillnet,32,TAK TERM N,US,terminal
2119,,AK NB TGN,NEETS BAY TERMINAL GILLNET,62,SE Alaska Terminal Gillnet,32,TAK TERM N,US,terminal
2120,,AK WN TGN,WRANGELL NARROWS TERM. GILLNET,62,SE Alaska Terminal Gillnet,32,TAK TERM N,US,terminal
2121,,AK EP TGN,EASTERN PASSAGE TERMINAL GILLNET,62,SE Alaska Terminal Gillnet,32,TAK TERM N,US,terminal
2122,,AK BS TGN,BLIND SLOUGH TERMINAL GILLNET,62,SE Alaska Terminal Gillnet,32,TAK TERM N,US,terminal
2123,,AK NW ST,AK NW SETNET,63,Alaska Southeast Set Gillnet,17,ALASKA N,US,pre-terminal
2124,,AK SASI SN,ALASKA SEINE AREA SOUTH INSIDE (DISTRICT 101 & 102),64,Alaska District 101 & 102 Seine,17,ALASKA N,US,pre-terminal
2125,,AK SASO SN,ALASKA SEINE AREA SOUTH OUTSIDE (DISTRICT 103 & 104),65,Alaska District 103 & 104 Seine,17,ALASKA N,US,pre-terminal
2126,,AK SACI SN,"ALASKA SEINE AREA CENTRAL INSIDE (DISTRICT 105, 106 & 107)",66,Alaska District 105 106 & 107 Seine,17,ALASKA N,US,pre-terminal
2127,,AK SACO SN,ALASKA SEINE AREA CENTRAL OUTSIDE (DISTRICT 109 & 110),67,Alaska District 109 & 110 Seine,17,ALASKA N,US,pre-terminal
2128,,AK SA11,AK SEINE AREA 11 (DISTRICT 111),68,Alaska District 111 Seine,17,ALASKA N,US,pre-terminal
2129,,AK SA12,AK SEINE AREA 12 (DISTRICT 112),69,Alaska District 112 Seine,17,ALASKA N,US,pre-terminal
2130,,AK SA13,AK SEINE AREA 13 (DISTRICT 113),70,Alaska District 113 Seine,17,ALASKA N,US,pre-terminal
2131,,AK SA14,AK SEINE AREA 14 (DISTRICT 114),71,Alaska District 114 Seine,17,ALASKA N,US,pre-terminal
2132,,AK CI TSN,CARROLL INLET TERMINAL SEINE,72,SE Alaska Terminal Seine,32,TAK TERM N,US,terminal
2133,,AK NB TSN,NEETS BAY TERMINAL SEINE,72,SE Alaska Terminal Seine,32,TAK TERM N,US,terminal
2134,,AK WN TSN,WRANGELL NARROWS TERM. SEINE,72,SE Alaska Terminal Seine,32,TAK TERM N,US,terminal
2135,,AK EP TSN,EASTERN PASSAGE TERMINAL SEINE,72,SE Alaska Terminal Seine,32,TAK TERM N,US,terminal
2136,,AK BS TSN,BLIND SLOUGH TERMINAL SEINE,72,SE Alaska Terminal Seine,32,TAK TERM N,US,terminal
2137,,AK HF TSN,HIDDEN FALLS TERMINAL SEINE,72,SE Alaska Terminal Seine,32,TAK TERM N,US,terminal
2138,,AK 101 TP,AK DISTRICT 101 TRAP,73,Alaska Trap,17,ALASKA N,US,pre-terminal
2139,,AB TGN,ANITA BAY TERMINAL GILLNET,62,SE Alaska Terminal Gillnet,32,TAK TERM N,US,terminal
2140,,AB TSN,ANITA BAY TERMINAL SEINE,72,SE Alaska Terminal Seine,32,TAK TERM N,US,terminal
2201,,NORTH N,NORTHERN NET,74,North Net,18,NORTH N,Canada,pre-terminal
2202,,TNORTH N,NORTH TERMINAL NET,75,North Terminal Net,19,TNBC TERM N,Canada,terminal
2203,,TNORTH FN,NORTH FRESHWATER NET,76,North Freshwater Net,34,TNORTH FN,Canada,terminal
2204,,CENTR N,CENTRAL NET,77,Central Net,20,CENTRL N,Canada,pre-terminal
2205,,TCENTRAL N,CENTRAL TERMINAL NET,78,Central Terminal Net,21,TCBC TERM N,Canada,terminal
2206,,TCENTRAL FN,CENTRAL FRESHWATER NET,79,Central Freshwater Net,35,TCENTRAL FN,Canada,terminal
2207,,JOHN ST N,JOHNSTONE STRAIT NET,80,Johnstone Strait Net,40,JNST N,Canada,pre-terminal
2208,,GEO ST N,GEORGA STRAIT NET,81,Georgia Strait Net,24,GEO ST N,Canada,pre-terminal
2209,,TGEO ST FN,GEORGIA STRAIT FRESHWATER NET,82,Georgia Strait Freshwater Net,36,TGEO ST FN,Canada,terminal
2210,,NWVI N,NORTHWEST WCVI NET,83,Northwest WCVI Net,23,WCVI N,Canada,pre-terminal
2211,,TNWVI N,NORTHWEST WCVI TERMINAL NET,84,Northwest WCVI Terminal Net,22,TWCVI TERM N,Canada,terminal
2212,,SWVI N,SOUTHWEST WCVI NET,85,Southwest WCVI Net,23,WCVI N,Canada,pre-terminal
2213,,TSWVI N,SOUTHWEST WCVI TERMINAL NET,86,Southwest WCVI Terminal Net,22,TWCVI TERM N,Canada,terminal
2214,,FRASER N,FRASERNET CR 58+CR8,87,Fraser Net,42,FRASER N,Canada,pre-terminal
2215,,TFRASER N,FRASER TERMINAL NET CR 58+CR8,88,Fraser Terminal Net,43,TFRASER TERM N,Canada,terminal
2216,,TLFRASER FN,LOWER FRASER FRESHWATER NET,89,Lower Fraser Freshwater Net,37,TFRAS FN,Canada,terminal
2217,,TUFRASER FN,UPPER FRASER FRESHWATER NET,90,Upper Fraser Freshwater Net,37,TFRAS FN,Canada,terminal
2218,,JU DE F N,CANADIAN JUAN DE FUCA NET,91,Canadian Juan De Fuca Net,41,BC JF N,Canada,pre-terminal
2219,,TBC JDF N,CANADIAN JUAN DE FUCA TERMINAL NET,,,,,Canada,pre-terminal
2220,,TBC STI FN,BC TERMINAL STIKINE FRESHWATER NET,185,BC Taku Freshwater Net,77,TCAN TBR N,Canada,terminal
